web-scraper-order,web-scraper-start-url,name_of_location,food_address,phone_number,food_availability,food_coordinates,food_coordinates-href
"1588275637-749","https://ccfoodbank.org/food-locator/","","","","","",""
"1588275637-1078","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7829896,%20-119.7629407)"
"1588275637-1244","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(35.8851064,%20-119.270266)"
"1588275637-881","https://ccfoodbank.org/food-locator/","","","","Open 3rd Saturday, 10am - 1pm","",""
"1588275637-45","https://ccfoodbank.org/food-locator/","COS Visalia","","","","",""
"1588275637-1262","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7434791,%20-119.7095819)"
"1588275637-774","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-1180","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7360858,%20-119.8030043)"
"1588275637-1245","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(35.8851064,%20-119.270266)"
"1588275637-307","https://ccfoodbank.org/food-locator/","","1101 Letts Ave.  Corcoran,  CA 93212","","","",""
"1588275637-75","https://ccfoodbank.org/food-locator/","Fresno Central SDA","","","","",""
"1588275637-625","https://ccfoodbank.org/food-locator/","","","559-578-8991","","",""
"1588275637-622","https://ccfoodbank.org/food-locator/","","","559-786-1330","","",""
"1588275637-613","https://ccfoodbank.org/food-locator/","","","559-233-3648","","",""
"1588275637-140","https://ccfoodbank.org/food-locator/","Masjid Al Aqabah","","","","",""
"1588275637-932","https://ccfoodbank.org/food-locator/","","","","Open dates have been cancelled. Closed until further notice.","",""
"1588275637-545","https://ccfoodbank.org/food-locator/","","","559-291-5317","","",""
"1588275637-1052","https://ccfoodbank.org/food-locator/","","","","Open 4th Friday of the month, 2-4pm","",""
"1588275637-1279","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.5905311,%20-119.6306915)"
"1588275637-463","https://ccfoodbank.org/food-locator/","","5391 E. Tulare Ave.  Fresno,  CA 93727","","","",""
"1588275637-1137","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.0911799,%20-119.5595007)"
"1588275637-870","https://ccfoodbank.org/food-locator/","","","","Open 3rd Tuesday, 11:30am - 2:30pm","",""
